store_code,name,county,city,address,zip,latitude,longitude
FWGS-0227,Fine Wine & Good Spirits,Allegheny,Monroeville,3845 Northern Pike,15146,40.4386017,-79.7779043
FWGS-0285,Fine Wine & Good Spirits,Allegheny,Allison Park,4706 William Flinn Highway,15101,40.5936484,-79.9465951
FWGS-0206,Fine Wine & Good Spirits,Allegheny,McKees Rocks,136 Mckees Rocks Plaza,15136,40.4651272,-80.0567967
FWGS-933,Fine Wine & Good Spirits — Buckingham Green Shopping Village,Bucks,Holicong,4950 York Road,18928,40.3309549,-75.0536915
FWGS-4632,Fine Wine & Good Spirits — Gwynedd Crossing,Montgomery,North Wales,1210 Bethlehem Pike,19454,40.2087445,-75.2272084
FWGS-4632,Fine Wine & Good Spirits — Gwynedd Crossing,Montgomery,North Wales,1210 Bethlehem Pike,19454,40.2095161,-75.2265082
FWGS-939,Fine Wine & Good Spirits,Bucks,Warrington,306 Easton Road,18976,40.2213642,-75.1405638
FWGS-0263,Fine Wine & Good Spirits,Allegheny,Pittsburgh,418 East Ohio Street,15212,40.4535275,-80.0009731
FWGS-2115,Fine Wine & Good Spirits — Capital City Mall,Cumberland,Camp Hill,3725 Capital City Mall Drive,17011,40.2215793,-76.9342779
FWGS-4902,Fine Wine & Good Spirits — The Plaza At Coal Township,Northumberland,Coal Township,9345 PA 61,17866,40.7906022,-76.505402
FWGS-4806,Fine Wine & Good Spirits,Northampton,Nazareth,34 South Broad Street,18064,40.7415376,-75.3097635
FWGS-2210,Fine Wine & Good Spirits,Dauphin,Harrisburg,5070 Jonestown Road,17112,40.3101559,-76.8053379
FWGS-3625,Fine Wine & Good Spirits — Centerville Square,Lancaster,Lancaster,558 Centerville Road,17601,40.054915,-76.4002347
FWGS-1412,Fine Wine & Good Spirits — Southridge Plaza,Centre,State College,127 Southridge Plaza,16801,40.7839744,-77.8310133
FWGS-5104,Fine Wine & Good Spirits — Columbus Commons,Philadelphia,Philadelphia,1940 South Christopher Columbus Boulevard,19148,39.9220308,-75.1441205
FWGS-0223,Fine Wine & Good Spirits,Allegheny,Pittsburgh,129 Lincoln Avenue,15209,40.4786391,-79.9698921
FWGS-4502,Fine Wine & Good Spirits — Pocono Village Mall,Monroe,Mount Pocono,3430 PA 940,18344,41.1247528,-75.3574979
FWGS-3627,Fine Wine & Good Spirits — Shoppes at Belmont,Lancaster,Lancaster,1565 Fruitville Pike,17601,40.0660694,-76.3140502
FWGS-3302,Wines & Spirits — Punxy Plaza,Jefferson,Punxsutawney,567 West Mahoning Street,15767,40.9414393,-78.9832719
FWGS-3918,Fine Wine & Good Spirits — The Promenade Shops at Saucon Valley,Lehigh,Center Valley,3060 Center Valley Parkway,18034,40.5580923,-75.412348
FWGS-934,Fine Wine & Good Spirits — The Shoppes at Veterans Lane,Bucks,Doylestown,132 Veterans Lane,18901,40.3189361,-75.13269
FWGS-5195,Fine Wine & Good Spirits,Philadelphia,Philadelphia,7702 City Avenue,19151,39.9773283,-75.2732405
FWGS-5406,Fine Wine & Good Spirits,Schuylkill,Mahanoy City,7 South Main Street,17948,40.8124823,-76.1414488
FWGS-5402,Fine Wine & Good Spirits,Schuylkill,Shenandoah,9 Gold Star Plaza,17976,40.8059989,-76.2062702
FWGS-6501,Wine & Spirits,Westmoreland,Greensburg,105 Harrison Avenue,15601,40.3034991,-79.5463589
OSM-n5762174152,Fine Wines & Spirits,Armstrong,,,,40.8135344,-79.5495932
FWGS-4901,Fine Wine & Good Spirits,Northumberland,Mount Carmel,136 South Oak Street,17851,40.7950655,-76.4128655
FWGS-910,Fine Wine & Good Spirits — Hilltown Plaza,Bucks,Souderton,766 Route 113,18964,40.3200763,-75.307466
FWGS-901,Fine Wine & Good Spirits — Hilltown Crossings,Bucks,Hatfield,1547 Bethlehem Pike,19440,40.2910144,-75.2667382
FWGS-3924,Fine Wine & Good Spirits — Hamilton Crossings,Lehigh,Allentown,750 North Krocks Road,18106,40.5639993,-75.5670186
FWGS-5412,Wine & Spirits,Schuylkill,Schuylkill Haven,515 Dock Street,17972,40.6367355,-76.1760056
FWGS-1304,Wine & Spirits,Carbon,Lehighton,143 South Street,18235,40.8338213,-75.7101077
FWGS-4511,Fine Wine & Good Spirits,Monroe,Brodheadsville,107 Kinsley Drive,18322,40.9191143,-75.422094
FWGS-4819,Fine Wine & Good Spirits — Madison Farms Retail Center,Northampton,Easton,4817 Freemansburg Avenue,18045,40.6501063,-75.2971575
FWGS-4007,Fine Wine & Good Spirits,Luzerne,Nanticoke,13 Weis Plaza,18634,41.2070184,-76.0038132
FWGS-3916,Fine Wine & Good Spirits — The Shoppes At Trexler,Lehigh,Trexlertown,6900 Hamilton Boulevard,18087,40.5504289,-75.5927245
FWGS-4002,Wine & Spirits,Luzerne,Wilkes-Barre,7 George Avenue,18705,41.2593948,-75.8500719
FWGS-3922,Fine Wine & Good Spirits,Lehigh,Bethlehem,2154 West Union Boulevard,18018,40.6279463,-75.4188197
FWGS-0212,Fine Wine & Good Spirits,Allegheny,Pittsburgh,959 Liberty Avenue,15222,40.4435985,-79.9959204
FWGS-6704,Fine Wine & Good Spirits — East Manchester Village Center,York,Manchester,205 Glen Drive,17345,40.0424672,-76.7264345
FWGS-4306,Fine Wine & Good Spirits — Hermitage Towne Plaza,Mercer,Hermitage,2321 East State Street,16148,41.2349189,-80.4666966
FWGS-4639,Fine Wine & Good Spirits — Gilbertsville Shopping Center,Montgomery,Gilbertsville,1050 East Philadelphia Avenue,19525,40.3241683,-75.6204349
FWGS-1523,Fine Wine & Good Spirits — Shoppes At Dilworthtown Crossing,Chester,West Chester,1363 Dilworthtown Road,19382,39.9041664,-75.5629831
FWGS-1530,Fine Wine & Good Spirits — Bradford Plaza,Chester,West Chester,692 Downingtown Pike,19380,39.9602977,-75.6217757
FWGS-1512,Fine Wine & Good Spirits — Lincoln Court,Chester,Malvern,215 Lancaster Avenue,19355,40.042175,-75.5414101
FWGS-4501,Fine Wine & Good Spirits — Pocono Plaza,Monroe,East Stroudsburg,310 Lincoln Avenue,18301,40.9919219,-75.1819905
FWGS-6518,Fine Wine & Good Spirits — Norwin Hills,Westmoreland,Irwin,8775 Norwin Avenue,15642,40.3168853,-79.6944447
FWGS-4503,Fine Wine & Good Spirits,Monroe,Cresco,1152 PA 390,18326,41.1811004,-75.2679559
FWGS-1518,Fine Wine & Good Spirits — Marketplace at Westtown,Chester,West Chester,1502 West Chester Pike,19382,39.9656794,-75.5279241
FWGS-2334,Fine Wine & Good Spirits — Brandywine Mills,Delaware,Glen Mills,1751 Wilmington Pike,19342,39.8747178,-75.5439047
FWGS-1516,Wine & Spirits — West Goshen Shopping Center,Chester,West Chester,933 Paoli Pike,19380,39.9707509,-75.587416
FWGS-4507,Fine Wine & Good Spirits,Monroe,Blakeslee,248 PA 940,18610,41.0902387,-75.5932038
FWGS-930,Fine Wine & Good Spirits — Doylestown Pointe Plaza,Bucks,Warrington,1661 Easton Road,18976,40.2680695,-75.1287723
FWGS-5116,Fine Wine & Good Spirits — One & Olney,Philadelphia,Philadelphia,101 East Olney Avenue,19120,40.0392371,-75.1184007
FWGS-3619,Fine Wine & Good Spirits — Kendig Square,Lancaster,Willow Street,2600 Willow Street Pike North,17584,39.9826727,-76.2816198
FWGS-2333,Fine Wine & Good Spirits — Barclay Square,Delaware,Upper Darby,1500 Garrett Road,19082,39.9536842,-75.2742528
FWGS-4201,Fine Wine & Good Spirits,McKean,Bradford,38 Davis Street,16701,41.9576252,-78.6441597
FWGS-1101,Fine Wine & Good Spirits,Cambria,Johnstown,426 Main Street,15901,40.3254453,-78.9189242
FWGS-932,Fine Wine & Good Spirits — Valley Square,Bucks,Warrington,1115 North Main Street,18976,40.2292006,-75.1309164
FWGS-4652,Fine Wine & Good Spirits — Upland Square,Montgomery,Pottstown,260 Upland Square Drive,19464,40.2670241,-75.653524
FWGS-1901,Fine Wine & Good Spirits — Briar Creek Plaza,Columbia,Berwick,35 Briar Creek Plaza,18603,41.0491107,-76.2745633
FWGS-5701,Fine Wine & Good Spirits,Sullivan,Dushore,121 West Main Street,18614,41.524335,-76.4018548
FWGS-2332,Wine & Spirits — Lawrence Park,Delaware,Broomall,1991 Sproul Road,19008,39.9621252,-75.3544624
FWGS-608,Fine Wine & Good Spirits — Spring Towne Center,Berks,Sinking Spring,2671 Shillington Road,19608,40.3166259,-76.0009262
FWGS-0218,Fine Wine & Good Spirits,Allegheny,,2947 West Liberty Avenue,15216,40.3939336,-80.0352039
FWGS-621,Fine Wine & Good Spirits,Berks,Wyomissing,1101 Woodland Road,19610-1214,40.3421507,-75.9733916
FWGS-5173,Fine Wine & Good Spirits — Woodland Village Plaza,Philadelphia,Philadelphia,6036 Woodland Avenue,19142,39.9292161,-75.2281989
FWGS-3626,Fine Wine & Good Spirits,Lancaster,Lancaster,2350 Lincoln Highway East,17602,40.0229665,-76.2077704
FWGS-3622,Fine Wine & Good Spirits — Shoppes At Kissel Village,Lancaster,Lititz,1036 Lititz Pike,17543,40.1300683,-76.3078435
FWGS-3604,Fine Wine & Good Spirits,Lancaster,Ephrata,31 West Main Street,17522,40.1795651,-76.1782599
FWGS-1508,Wine & Spirits — West Sadsbury Commons,Chester,Parkesburg,324 Commons Drive,19365,39.9797104,-75.9360703
FWGS-9205,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1602 Cochran Road,15220,40.3914476,-80.0594859
FWGS-2516,Fine Wine & Good Spirits — The Liberty Center,Erie,Erie,3702 Liberty Street,16508,42.0963482,-80.0855074
FWGS-0298,Fine Wine & Good Spirits,Allegheny,Bridgeville,1025 Washington Pike,15017,40.367602,-80.1088314
FWGS-4656,Fine Wine & Good Spirits — Pennsburg Shopping Center,Montgomery,Pennsburg,456 Pottstown Avenue,18073,40.3930186,-75.4997585
FWGS-5160,Fine Wine & Good Spirits — Hendrix Center,Philadelphia,Philadelphia,11685 Bustleton Avenue,19116,40.1183785,-75.0176649
FWGS-904,Fine Wine & Good Spirits — Perkasie Square,Bucks,Perkasie,511 Constitution Avenue,18944,40.3640572,-75.2972136
FWGS-2519,Fine Wine & Good Spirits — Giant Eagle Plaza,Erie,Erie,4058 Buffalo Road,16510,42.1429201,-80.0064364
FWGS-2513,Fine Wine & Good Spirits — East Erie Plaza,Erie,Erie,828 East 6th Street,16507,42.1369318,-80.0670594
FWGS-2501,Fine Wine & Good Spirits — Summit Towne Center,Erie,Erie,7200 Peach Street,16509,42.0529847,-80.0915827
FWGS-2511,Fine Wine & Good Spirits,Erie,Erie,737 East 38th Street,16504,42.1079649,-80.049948
FWGS-2514,Fine Wine & Good Spirits — Yorktown Centre,Erie,Erie,2501 West 12th Street,16505,42.1027136,-80.1349172
FWGS-2518,Fine Wine & Good Spirits,Erie,Edinboro,140 Washington Towne Boulevard,16412,41.8776647,-80.172079
FWGS-2520,Fine Wine & Good Spirits — Giant Eagle Plaza,Erie,Girard,9135 West Ridge Road,16417,42.0085237,-80.3026934
FWGS-2503,Fine Wine & Good Spirits — Asbury Square,Erie,Erie,2421 Asbury Road,16506,42.0735066,-80.1815852
FWGS-6720,Fine Wine & Good Spirits,York,Dillsburg,406 US-15,17019,40.1176837,-77.0366288
FWGS-6317,Fine Wine & Good Spirits — Trinity Point,Washington,Washington,50 Trinity Point Drive,15301,40.1830673,-80.2199238
FWGS-0201,Fine Wine & Good Spirits,Allegheny,Bridgeville,3239 Washington Pike,15017,40.3410158,-80.1188707
FWGS-0210,Fine Wine & Good Spirits,Allegheny,South Park,2550 Brownsville Road,15129,40.2937384,-79.9965383
FWGS-5201,Fine Wine & Good Spirits,Pike,Milford,106 West Harford Street,18337,41.3224814,-74.8044917
FWGS-5202,Fine Wine & Good Spirits,Pike,Lords Valley,123 Village Center Drive,18428,41.3473502,-75.0426618
FWGS-6715,Fine Wine & Good Spirits — Newberry Pointe,York,Etters,180 Newberry Parkway,17319,40.1478597,-76.8119079
FWGS-0274,Fine Wine & Good Spirits,Allegheny,Pittsburgh,300 Mount Lebanon Boulevard,15234,40.36866,-80.0354112
FWGS-2502,Fine Wine & Good Spirits,Erie,Erie,105 West 18th Street,16501,42.1175038,-80.079394
FWGS-2006,Fine Wine & Good Spirits — Park Avenue Plaza,Crawford,Meadville,19017 Park Avenue Plaza,16335,41.6236296,-80.160884
FWGS-3901,Fine Wine & Good Spirits — Crest Plaza,Lehigh,Allentown,1516 North Cedar Crest Boulevard,18104,40.6119683,-75.5351784
FWGS-3904,Fine Wine & Good Spirits — South Mall,Lehigh,Allentown,3300 Lehigh Street,18103,40.5574806,-75.4910441
FWGS-3920,Fine Wine & Good Spirits — East Penn Plaza,Lehigh,Emmaus,1325 Chestnut Street,18049,40.5273906,-75.5103962
FWGS-5126,Fine Wine & Good Spirits — The Shops at Brewerytown,Philadelphia,Philadelphia,3101 West Girard Avenue,19130,39.9759635,-75.1871185
FWGS-0213,Fine Wine & Good Spirits,Allegheny,Pittsburgh,217 Atwood Street,15213,40.440747,-79.9570626
FWGS-1522,Fine Wine & Good Spirits — Suburbia Shopping Center,Chester,Pottstown,76 Glocker Way,19465,40.2085658,-75.6575339
FWGS-615,Fine Wine & Good Spirits — Douglassville Shopping Center,Berks,Douglassville,180 Old Swede Road,19518,40.2606388,-75.7264962
FWGS-6314,Fine Wine & Good Spirits,Washington,Washington,980 Jefferson Avenue,15301,40.1819199,-80.2637093
FWGS-4648,Fine Wine & Good Spirits,Montgomery,Collegeville,160 Market Street,19426-4930,40.1662058,-75.4801765
FWGS-2506,Fine Wine & Good Spirits,Erie,Corry,350 West Columbus Avenue,16407,41.9340378,-79.6539918
FWGS-0281,Fine Wine & Good Spirits,Allegheny,Glenshaw,1706 Mount Royal Boulevard,15116,40.5255165,-79.9619923
FWGS-216,Fine Wine & Good Spirits,Allegheny,Carnegie,102 East Main Street,15106,40.4073751,-80.0866018
FWGS-0235,Fine Wine & Good Spirits,Allegheny,Pittsburgh,2001 Smallman Street,15222,40.4519047,-79.9848104
FWGS-6201,Fine Wine & Good Spirits,Warren,Warren,44 Market Street,16365,41.8422945,-79.1434766
FWGS-0232,Fine Wine & Good Spirits,Allegheny,Pittsburgh,3080 McIntyre Square Drive,15237,40.5524528,-80.0158439
FWGS-0203,Fine Wine & Good Spirits,Allegheny,Pittsburgh,230 Yost Boulevard,15221,40.415254,-79.8547727
FWGS-0202,Fine Wine & Good Spirits,Allegheny,Verona,90 Allegheny River Boulevard,15147,40.497536,-79.845002
FWGS-0214,Fine Wine & Good Spirits,Allegheny,Pittsburgh,974 Freeport Road,15238,40.4885407,-79.8903923
FWGS-0219,Fine Wine & Good Spirits,Allegheny,West Mifflin,1326 Hoffman Boulevard,15122,40.3837216,-79.8688107
FWGS-0220,Fine Wine & Good Spirits,Allegheny,Oakmont,624 Allegheny River Boulevard,15139,40.519795,-79.8423626
FWGS-0226,Fine Wine & Good Spirits,Allegheny,Pittsburgh,132 Ben Avon Heights Road,15237,40.5217417,-80.0694998
FWGS-0228,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1749 South Braddock Avenue,15218,40.427193,-79.8863143
FWGS-0231,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1106 Park Manor Boulevard,15205,40.4528331,-80.1625335
FWGS-0242,Fine Wine & Good Spirits,Allegheny,Monroeville,4524 Broadway Boulevard,15146,40.39017,-79.7671558
FWGS-0244,Fine Wine & Good Spirits,Allegheny,Glassport,739 Monongahela Avenue,15045,40.3228703,-79.8920969
FWGS-0249,Fine Wine & Good Spirits,Allegheny,Pittsburgh,519 Towne Square Way,15227,40.3662756,-79.9819653
FWGS-0250,Fine Wine & Good Spirits,Allegheny,Natrona Heights,56 Highlands Mall,15065,40.6455032,-79.7123773
FWGS-0252,Fine Wine & Good Spirits,Allegheny,Pittsburgh,4643 Centre Avenue,15213,40.4525194,-79.950317
FWGS-0261,Fine Wine & Good Spirits,Allegheny,Pittsburgh,2629 Brownsville Road,15227,40.3848745,-79.9778918
FWGS-0271,Fine Wine & Good Spirits,Allegheny,Munhall,3408 Main Street,15120,40.3862607,-79.9029615
FWGS-0279,Fine Wine & Good Spirits,Allegheny,Pittsburgh,722 Brookline Boulevard,15226,40.3942395,-80.0209896
FWGS-0272,Fine Wine & Good Spirits,Allegheny,Pittsburgh,233 Shiloh Street,15211,40.4297021,-80.0072196
FWGS-0280,Fine Wine & Good Spirits,Allegheny,Pittsburgh,2800 Robinson Boulevard,15235,40.4605948,-79.8656784
FWGS-0288,Fine Wine & Good Spirits,Allegheny,Pittsburgh,5301 Grove Road,15236,40.3587349,-80.0028428
FWGS-0290,Fine Wine & Good Spirits,Allegheny,Pittsburgh,2350 Noblestown Road,15205,40.4275613,-80.0554864
FWGS-0294,Fine Wine & Good Spirits,Allegheny,McKeesport,4313 Walnut Street,15132,40.3225688,-79.8332267
FWGS-0295,Fine Wine & Good Spirits,Allegheny,North Versailles,355 Lincoln Highway,15137,40.3850119,-79.8208775
FWGS-0297,Fine Wine & Good Spirits,Allegheny,West Mifflin,1874 Homeville Road,15122,40.3652261,-79.8729338
FWGS-0299,Fine Wine & Good Spirits,Allegheny,Pittsburgh,11685 Penn Hills Drive,15235,40.465137,-79.8263633
FWGS-9210,Fine Wine & Good Spirits,Allegheny,Verona,1103 Milltown Road,15147,40.4981054,-79.7902474
FWGS-9211,Fine Wine & Good Spirits,Allegheny,Bethel Park,5000 Oxford Drive,15102,40.3471093,-80.0528022
FWGS-9212,Fine Wine & Good Spirits,Allegheny,Imperial,440 Penn Lincoln Drve,15126,40.4424447,-80.2361297
FWGS-0237,Fine Wine & Good Spirits,Allegheny,Pittsburgh,339 Fifth Avenue,15222,40.4404115,-79.9992279
FWGS-1506,Fine Wine & Good Spirits — Ashbridge Square,Chester,Downingtown,861 East Lancaster Avenue,19335,40.017088,-75.6863969
FWGS-3926,Fine Wine & Good Spirits — Airport Plaza,Lehigh,Allentown,934 Airport Road,18109,40.6390577,-75.4365166
OSM-n8942397708,Fine Wine & Good Spirits — #3525,Lackawanna,Carbondale,63 South Main Street,18407,41.5700807,-75.5020564
